No.,ISO,Full Name,No. Words,Val,Aro,Dom,Joy,Ang,Sad,Fea,Dis,Mean
1,en,English,2000004,0.94,0.76,0.88,0.9,0.91,0.9,0.89,0.89,0.88
2,es,Spanish,2001183,0.89,0.7,0.8,0.83,0.86,0.85,0.82,0.81,0.82
3,it,Italian,2001137,0.88,0.69,0.81,0.82,0.85,0.84,0.82,0.81,0.81
4,de,German,2000507,0.89,0.66,0.81,0.82,0.84,0.82,0.8,0.81,0.81
5,sv,Swedish,2000980,0.87,0.64,0.8,0.82,0.84,0.82,0.81,0.8,0.8
6,pt,Portuguese,2001078,0.86,0.7,0.78,0.78,0.83,0.81,0.78,0.82,0.79
7,id,Indonesian,2002221,0.85,0.67,0.79,0.78,0.82,0.8,0.79,0.77,0.79
8,hu,Hungarian,2000975,0.86,0.67,0.79,0.8,0.82,0.79,0.77,0.79,0.79
9,fr,French,2001517,0.85,0.65,0.79,0.78,0.82,0.81,0.78,0.81,0.78
10,fi,Finnish,2000841,0.86,0.64,0.79,0.81,0.82,0.78,0.77,0.8,0.78
11,ro,Romanian,2001501,0.85,0.65,0.78,0.78,0.82,0.81,0.79,0.78,0.78
12,cs,Czech,2001203,0.84,0.64,0.77,0.78,0.82,0.8,0.79,0.79,0.78
13,pl,Polish,2001460,0.85,0.63,0.78,0.8,0.82,0.8,0.78,0.78,0.78
14,nl,Dutch,2000721,0.85,0.64,0.78,0.77,0.8,0.79,0.77,0.78,0.77
15,no,Norwegian (Bokmål),2000876,0.84,0.63,0.77,0.78,0.82,0.78,0.78,0.78,0.77
16,tr,Turkish,2002489,0.84,0.62,0.78,0.78,0.8,0.8,0.75,0.77,0.77
17,ru,Russian,2001317,0.82,0.64,0.75,0.8,0.81,0.77,0.77,0.77,0.77
18,el,Greek,2001704,0.82,0.63,0.76,0.78,0.8,0.78,0.77,0.78,0.77
19,uk,Ukrainian,2001261,0.83,0.63,0.77,0.78,0.8,0.77,0.76,0.77,0.76
20,et,Estonian,2001125,0.83,0.59,0.75,0.77,0.81,0.78,0.77,0.78,0.76
21,ca,Catalan,2001538,0.84,0.6,0.8,0.77,0.79,0.78,0.76,0.74,0.76
22,da,Danish,2000654,0.84,0.61,0.77,0.78,0.79,0.77,0.73,0.79,0.76
