fastText_fullname	google_fullname	iso	google_iso	articles_wiki
Afrikaans	afrikaans	af	af	85954
Albanian	albanian	sq	sq	77869
Amharic	amharic	am	am	14849
Arabic	arabic	ar	ar	964345
Armenian	armenian	hy	hy	259237
Azerbaijani	azerbaijani	az	az	150555
Basque	basque	eu	eu	341592
Belarusian	belarusian	be	be	178805
Bengali	bengali	bn	bn	75202
Bosnian	bosnian	bs	bs	80878
Bulgarian	bulgarian	bg	bg	256726
Burmese	burmese	my	my	45044
Catalan	catalan	ca	ca	625856
Cebuano	cebuano	ceb	ceb	5378854
Chinese	chinese_simpl	zh	zh-CN	1078033
Corsican	corsican	co	co	5689
Croatian	croatian	hr	hr	210672
Czech	czech	cs	cs	437174
Danish	danish	da	da	253927
Dutch	dutch	nl	nl	1981597
Eastern Punjabi	punjabi	pa	pa	31982
English	english	en	en	5955071
Esperanto	esperanto	eo	eo	269749
Estonian	estonian	et	et	202200
Finnish	finnish	fi	fi	470454
French	french	fr	fr	2147920
Galician	galician	gl	gl	159338
Georgian	georgian	ka	ka	132233
German	german	de	de	2355937
Greek	greek	el	el	169344
Gujarati	gujarati	gu	gu	28642
Haitian	haitian_creole	ht	ht	56664
Hebrew	hebrew	he	iw	252106
Hindi	hindi	hi	hi	133651
Hungarian	hungarian	hu	hu	458639
Icelandic	icelandic	is	is	48459
Indonesian	indonesian	id	id	506289
Irish	irish	ga	ga	51618
Italian	italian	it	it	1559404
Japanese	japanese	ja	ja	1173525
Javanese	javanese	jv	jw	56668
Kannada	kannada	kn	kn	25146
Kazakh	kazakh	kk	kk	225424
Khmer	khmer	km	km	7723
Kirghiz	kyrgyz	ky	ky	79735
Korean	korean	ko	ko	472661
Kurdish (Kurmanji)	kurdish_kurmanji	ku	ku	26304
Latin	latin	la	la	131359
Latvian	latvian	lv	lv	98559
Lithuanian	lithuanian	lt	lt	196932
Luxembourgish	luxembourgish	lb	lb	57310
Macedonian	macedonian	mk	mk	102580
Malagasy	malagasy	mg	mg	92109
Malay	malay	ms	ms	330554
Malayalam	malayalam	ml	ml	66073
Maltese	maltese	mt	mt	3425
Marathi	marathi	mr	mr	55173
Mongolian	mongolian	mn	mn	18930
Nepali	nepali	ne	ne	33297
Norwegian (Bokmål)	norwegian	no	no	521099
Pashto	pashto	ps	ps	10827
Persian	persian	fa	fa	695954
Polish	polish	pl	pl	1365997
Portuguese	portuguese	pt	pt	1015127
Romanian	romanian	ro	ro	401569
Russian	russian	ru	ru	1574657
Scottish Gaelic	scots_gaelic	gd	gd	14834
Serbian	serbian	sr	sr	625470
Sindhi	sindhi	sd	sd	12262
Sinhalese	sinhala	si	si	15407
Slovak	slovak	sk	sk	231362
Slovenian	slovenian	sl	sl	165725
Somali	somali	so	so	5655
Spanish	spanish	es	es	1551805
Sundanese	sundanese	su	su	59571
Swahili	swahili	sw	sw	54228
Swedish	swedish	sv	sv	3748006
Tagalog	filipino	tl	tl	75873
Tajik	tajik	tg	tg	98732
Tamil	tamil	ta	ta	123800
Telugu	telugu	te	te	71360
Thai	thai	th	th	133645
Turkish	turkish	tr	tr	334894
Ukrainian	ukrainian	uk	uk	942435
Urdu	urdu	ur	ur	149332
Uzbek	uzbek	uz	uz	132280
Vietnamese	vietnamese	vi	vi	1237440
Welsh	welsh	cy	cy	106263
West Frisian	frisian	fy	fy	42880
Yiddish	yiddish	yi	yi	14881
Yoruba	yoruba	yo	yo	31947

